     FSU  ORE  BAMA OU   AUBU TA&M BAYL ND   MSU  MISS UCLA UGA  SC   MSST ASU  STAN LSU  USC  WISC BYU  NEBR OSU  ECU  OKST KSU  MISO CLEM DUKE PSU  TCU  MARS UTAH WASH GT   BC   WVA  CINC ARKA ARIZ ORST 
FSU  ---- 0.63 0.66 0.64 0.53 0.79 0.65 0.90 0.57 0.32 0.49 0.86 0.41 0.59 0.98 0.47 0.45 0.95 0.76 0.53 0.91 0.56 0.46 0.52 0.75 0.76 0.33 0.98 0.45 0.79 0.06 0.49 0.81 0.42 0.77 0.62 0.80 0.48 0.38 0.65 
ORE  ---- ---- 0.30 0.48 0.37 0.37 0.88 0.24 0.62 0.78 0.04 0.84 0.77 0.49 0.90 0.03 0.74 0.65 0.31 0.26 0.39 0.71 0.03 0.49 0.80 0.65 0.25 0.84 0.07 0.98 0.89 0.18 0.05 0.14 0.52 0.98 0.93 0.69 0.72 0.75 
BAMA ---- ---- ---- 0.52 0.90 0.25 0.31 0.53 0.93 0.62 0.03 0.05 0.06 0.89 0.40 0.84 0.31 0.91 0.34 0.82 0.26 0.59 0.04 0.57 0.74 0.33 0.65 0.21 0.44 0.79 0.79 0.38 0.90 0.32 0.14 0.08 0.23 0.54 0.30 0.01 
OU   ---- ---- ---- ---- 0.37 0.51 0.97 0.12 0.55 0.43 0.19 0.08 0.94 0.79 0.78 0.13 0.23 0.56 0.22 0.26 0.30 0.61 0.59 0.19 0.42 0.73 0.52 0.77 0.98 0.34 0.17 0.23 0.74 0.59 0.33 0.74 0.58 0.76 0.90 0.36 
AUBU ---- ---- ---- ---- ---- 0.83 0.93 0.61 0.78 0.29 0.24 0.62 0.38 0.20 0.62 0.30 0.26 0.04 0.15 0.28 0.33 0.27 0.52 0.89 0.11 0.05 0.92 0.91 0.47 0.10 0.36 0.01 0.64 0.22 0.93 0.38 0.14 0.79 0.60 0.49 
TA&M ---- ---- ---- ---- ---- ---- 0.02 0.21 0.57 0.84 0.19 0.25 0.86 0.38 0.89 0.66 0.56 0.73 0.93 0.64 0.47 0.67 0.55 0.17 0.66 0.23 0.76 0.34 0.56 0.58 0.68 0.57 0.08 0.11 0.20 0.91 0.11 0.11 0.66 0.16 
BAYL ---- ---- ---- ---- ---- ---- ---- 0.75 0.39 0.83 0.19 0.06 0.71 0.02 0.94 0.75 0.49 0.99 0.93 0.02 0.43 0.13 0.89 0.46 0.49 0.11 0.30 0.50 0.91 0.16 0.82 0.93 0.46 0.74 0.94 0.37 0.83 0.48 0.69 0.31 
ND   ---- ---- ---- ---- ---- ---- ---- ---- 0.40 0.71 0.76 0.50 0.48 0.38 0.14 0.28 0.48 0.81 0.18 0.54 0.83 0.42 0.41 0.80 0.90 0.11 0.31 0.94 0.62 0.10 0.34 0.56 0.30 0.77 0.63 0.50 0.48 0.61 0.70 0.08 
MSU  ---- ---- ---- ---- ---- ---- ---- ---- ---- 0.34 0.22 0.43 0.01 0.77 0.26 0.80 0.57 0.45 0.14 0.02 0.53 0.60 0.80 0.51 0.93 0.14 0.13 0.60 0.44 0.62 0.32 0.61 0.15 0.66 0.07 0.65 0.36 0.77 0.64 0.83 
MISS ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 0.00 0.72 0.30 0.07 0.71 0.36 0.98 0.37 0.25 0.49 0.16 0.33 0.61 0.14 0.62 0.04 0.46 0.70 0.48 0.92 0.67 0.72 0.59 0.07 0.28 0.73 0.41 0.46 0.15 0.46 
